2.0464e-12-1.1409e+05i,2.0464e-12+1.1409e+05i,-1.1937e-12-69098i,-1.1937e-12+69098i,-5.457e-12-67373i,-5.457e-12+67373i,-1.5064e-12-36984i,-1.5064e-12+36984i,-4.5475e-13-25462i,-4.5475e-13+25462i,1.1369e-13-21814i,1.1369e-13+21814i,3.0127e-12-3079.7i,3.0127e-12+3079.7i,-3.638e-12-11825i,-3.638e-12+11825i
3.2969e-12-89177i,3.2969e-12+89177i,3.638e-12-53601i,3.638e-12+53601i,0-39266i,0+39266i,-3.638e-12-27547i,-3.638e-12+27547i,-1.819e-12-23568i,-1.819e-12+23568i,0-13638i,0+13638i,1.08e-12-5746.4i,1.08e-12+5746.4i,-5.6843e-13-867.15i,-5.6843e-13+867.15i
-2.3874e-12-1.1293e+05i,-2.3874e-12+1.1293e+05i,2.6884e-72-67533i,2.6884e-72+67533i,5.457e-12-62086i,5.457e-12+62086i,-6.8212e-13-35082i,-6.8212e-13+35082i,2.2737e-12-24656i,2.2737e-12+24656i,-4.0927e-12-17216i,-4.0927e-12+17216i,-1.9327e-12-11443i,-1.9327e-12+11443i,-1.279e-12-1210.3i,-1.279e-12+1210.3i
2.9559e-12-93229i,2.9559e-12+93229i,9.1439e-100-60582i,9.1439e-100+60582i,-7.276e-12-47904i,-7.276e-12+47904i,0-30099i,0+30099i,0-12677i,0+12677i,4.5475e-13-9007.8i,4.5475e-13+9007.8i,-1.4921e-12-1268.6i,-1.4921e-12+1268.6i,-1.4779e-12-5578.6i,-1.4779e-12+5578.6i
4.1496e-12-92050i,4.1496e-12+92050i,0-61648i,0+61648i,-5.0022e-12-45929i,-5.0022e-12+45929i,-3.4106e-13-29876i,-3.4106e-13+29876i,4.5048e-12-14132i,4.5048e-12+14132i,2.2737e-12-9203.3i,2.2737e-12+9203.3i,-1.1369e-13-4378.6i,-1.1369e-13+4378.6i,-8.3844e-13-603.78i,-8.3844e-13+603.78i
-4.5475e-12-99605i,-4.5475e-12+99605i,-3.1832e-12-70423i,-3.1832e-12+70423i,-4.5475e-13-45663i,-4.5475e-13+45663i,-1.819e-12-26970i,-1.819e-12+26970i,2.7711e-13-15974i,2.7711e-13+15974i,2.6148e-12-7660.9i,2.6148e-12+7660.9i,5.6843e-13-5222.6i,5.6843e-13+5222.6i,2.3022e-12-1589.4i,2.3022e-12+1589.4i
7.0486e-12-97669i,7.0486e-12+97669i,-5.9117e-12-72440i,-5.9117e-12+72440i,4.7748e-12-41144i,4.7748e-12+41144i,9.0949e-13-28061i,9.0949e-13+28061i,-9.0949e-13-17250i,-9.0949e-13+17250i,-1.7053e-12-10729i,-1.7053e-12+10729i,2.8422e-13-644.97i,2.8422e-13+644.97i,4.2633e-13-6969.3i,4.2633e-13+6969.3i
-3.638e-12-1.269e+05i,-3.638e-12+1.269e+05i,-1.2261e-45-75818i,-1.2261e-45+75818i,4.3201e-12-46868i,4.3201e-12+46868i,-1.819e-12-31166i,-1.819e-12+31166i,4.5475e-12-25218i,4.5475e-12+25218i,-1.8758e-12-21398i,-1.8758e-12+21398i,1.3642e-12-11005i,1.3642e-12+11005i,-6.0254e-12-1226.2i,-6.0254e-12+1226.2i
8.6402e-12-1.3129e+05i,8.6402e-12+1.3129e+05i,-2.3896e-58-63344i,-2.3896e-58+63344i,-1.5916e-12-53823i,-1.5916e-12+53823i,1.819e-12-38371i,1.819e-12+38371i,-2.7285e-12-30395i,-2.7285e-12+30395i,-7.276e-12-22050i,-7.276e-12+22050i,-1.0232e-12-16167i,-1.0232e-12+16167i,3.0411e-12-793.21i,3.0411e-12+793.21i
0-1.0799e+05i,0+1.0799e+05i,-1.4034e-77-75886i,-1.4034e-77+75886i,0-44535i,0+44535i,0-28655i,0+28655i,1.819e-12-23115i,1.819e-12+23115i,0-10483i,0+10483i,2.2169e-12-7011.4i,2.2169e-12+7011.4i,6.0396e-13-963.32i,6.0396e-13+963.32i
